CUTCSA,2072,L9,0,32,TERMINAL DEL CERRO,31,CASAB├ô
CUTCSA,593,112,0,20,PUNTA GORDA,1,PLAZA ESPA├æA
CUTCSA,1767,180,0,65,JAIME ROLD├ôS Y PONS Y LONDRES,23,CIUDAD VIEJA
CUTCSA,3010,195,0,32,TERMINAL DEL CERRO,189,CEMENTERIO DEL BUCEO (POR HIP├ôDROMO)
CUTCSA,3364,151,0,54,VERDISOL,42,PORTONES
CUTCSA,3009,195,1,189,CEMENTERIO DEL BUCEO,32,TERMINAL DEL CERRO (POR HIP├ôDROMO)
CUTCSA,856,142,0,44,RAMBLA COSTANERA,11,ADUANA
CUTCSA,710,127,0,33,DELTA DEL TIGRE,22,CIUDADELA (POR COMPEN)
CUTCSA,720,128,0,37,PASO DE LA ARENA,24,POCITOS
CUTCSA,1037,155,0,55,PUNTA DE RIELES,22,CIUDADELA
CUTCSA,3081,195,1,190,CRIOLLA PARQUE ROOSEVELT,30,PLAYA DEL CERRO
COETC,1459,4,1,7,PLAZA INDEPENDENCIA,55,PUNTA DE RIELES
COME,171,505,1,11,ADUANA,77,ANDALUZ
CUTCSA,2816,158,1,11,ADUANA,57,MENDOZA E INSTRUCCIONES
CUTCSA,888,144,0,45,CEMENTERIO DEL NORTE,7,PLAZA INDEPENDENCIA
CUTCSA,3646,G6,1,181,TERMINAL COL├ôN,50,AVIACI├ôN CIVIL
UCOT,1707,328,1,28,PUNTA CARRETAS,57,MENDOZA E INSTRUCCIONES
CUTCSA,1587,14,0,24,POCITOS,23,CIUDAD VIEJA
CUTCSA,1391,191,1,22,CIUDADELA,28,PUNTA CARRETAS
COETC,3657,L7,0,49,HOSPITAL SAINT BOIS,32,TERMINAL DEL CERRO (POR COTRAVI)
COME,217,546,1,42,PORTONES,82,BELVEDERE
UCOT,1761,306,1,16,PARQUE ROOSEVELT,31,CASAB├ô
CUTCSA,3342,G4,0,50,AVIACI├ôN CIVIL,181,TERMINAL COL├ôN
CUTCSA,874,142,0,20,PUNTA GORDA,1,PLAZA ESPA├æA
RAINCOOP,1617,21,1,7,PLAZA INDEPENDENCIA,16,PARQUE ROOSEVELT (POR AV ITALIA)
CUTCSA,1299,182,0,67,PASO MOLINO,56,PARQUE ROD├ô
CUTCSA,1780,140,1,7,PLAZA INDEPENDENCIA,42,PORTONES
